Device: cuda
GPU:    Tesla V100-PCIE-16GB

Clients in round 249 (most diverse first):
client                 n_unique  labels
client_106.pt                 3  [6, 1, 1, 1, 5, 6, 5, 6, 1, 1, 1, 5, 6, 5, 5, 6]
client_111.pt                 3  [1, 1, 8, 7, 7, 7, 8, 8, 7, 7, 1, 7, 7, 8, 8, 7]
client_13.pt                  3  [1, 9, 9, 9, 9, 1, 0, 1, 1, 9, 1, 0, 1, 0, 1, 0]
client_147.pt                 3  [5, 5, 8, 8, 5, 8, 5, 1, 8, 1, 8, 5, 8, 1, 5, 8]
client_153.pt                 3  [9, 8, 9, 9, 8, 8, 9, 0, 0, 9, 9, 0, 0, 8]
client_158.pt                 3  [9, 0, 9, 0, 6, 6, 9, 6, 6, 0, 9, 9, 6, 0, 0, 6]
client_173.pt                 3  [6, 6, 8, 8, 6, 8, 6, 8, 6, 6, 8, 3, 8, 3, 6, 3]
client_179.pt                 3  [2, 4, 4, 4, 4, 4, 2, 2, 4, 4, 4, 9, 2, 4, 2, 9]
client_18.pt                  3  [5, 0, 5, 0, 1, 5, 0, 0, 5, 5, 1, 0, 0, 5, 0, 5]
client_184.pt                 3  [8, 6, 4, 8, 4, 6, 4, 4, 8, 4, 8, 6, 4, 8, 8, 4]
client_185.pt                 3  [7, 2, 2, 2, 7, 7, 7, 2, 2, 7, 2, 2, 7, 5, 5, 2]
client_191.pt                 3  [1, 6, 9, 1, 6, 1, 9, 1, 9, 1, 9, 9, 1, 9, 6, 1]
client_199.pt                 3  [3, 3, 5, 5, 7, 5, 7, 3, 7, 5, 5, 3, 5, 5]
client_20.pt                  3  [0, 0, 6, 6, 6, 0, 0, 1, 1, 1, 6, 1, 0, 6, 0, 1]
client_219.pt                 3  [2, 8, 6, 8, 6, 2, 6, 8, 2, 8, 2, 6, 8, 2, 6, 6]
client_222.pt                 3  [3, 7, 0, 0, 7, 7, 3, 7, 0, 0, 3, 3, 0, 7, 7, 7]
client_228.pt                 3  [6, 7, 2, 7, 2, 2, 6, 7, 7, 2, 6, 6, 7, 7, 7, 7]
client_241.pt                 3  [2, 2, 4, 2, 2, 5, 4, 5, 5, 2, 2, 5, 4, 5, 2, 4]
client_249.pt                 3  [2, 2, 4, 0, 4, 4, 0, 2, 2, 2, 4, 2, 4, 2, 4, 4]
client_25.pt                  3  [3, 6, 3, 6, 3, 6, 3, 9, 3, 3, 3, 9, 3, 3, 3, 3]
client_251.pt                 3  [8, 3, 1, 1, 8, 8, 3, 3, 8, 1, 1, 8, 1, 8, 8, 3]
client_262.pt                 3  [7, 3, 7, 3, 3, 7, 6, 7, 3, 6, 6, 3, 6, 3, 3, 7]
client_265.pt                 3  [0, 0, 9, 9, 5, 5, 0, 5, 5, 0, 5, 0]
client_271.pt                 3  [5, 5, 5, 7, 0, 5, 5, 5, 0, 5, 7]
client_274.pt                 3  [1, 3, 1, 3, 3, 1, 9, 9, 3, 3, 9, 3, 1, 1, 3, 3]
client_281.pt                 3  [8, 3, 3, 8, 8, 3, 3, 8, 8, 1, 8, 8, 3, 1, 1, 3]
client_31.pt                  3  [9, 2, 2, 2, 9, 2, 6, 9, 9, 2, 6, 2, 2, 2, 6, 6]
client_36.pt                  3  [5, 5, 3, 4, 4, 4, 3, 4, 5, 4, 3, 5, 4, 3, 4, 4]
client_71.pt                  3  [4, 4, 1, 1, 1, 5, 5, 5, 5, 4, 1, 1, 1, 4, 1, 5]
client_8.pt                   3  [6, 7, 6, 2, 6, 7, 6, 2, 7, 6, 2, 7, 7, 6, 2, 6]
